parentUUID,rawTitle,cleanTitle,totalHoursWatched,imdbMatchedTitle,imdbMatchConfidence,imdbLink,imdbGenres,imdbType,imdbUserRating,imdbNumRatings,directorCount,writerCount,castCount,producerCount,composerCount,cinematographerCount,editorCount,castingDirectorCount,artDirectorCount,setDecoratorCount,costumeDesignerCount,makeUpDepartmentCount,productionManagerCount,assistantDirectorCount,artDepartmentCount,soundDepartmentCount,stuntsCount,cameraDepartmentCount,costumeDepartmentCount,editorialDepartmentCount,musicDepartmentCount,scriptDepartmentCount,miscellaneousCrewCount
6dfc19a5-b6e5-46f7-b81b-5dc0b39f3cba,Dinotrux: Season 1,Dinotrux,18700000,Dinotrux,100,https://www.imdb.com/title/tt1396212/,"Animation, Short, Action",TV Series,6.8,536,4,14,18,4,1,,,6,,,,,4,,17,17,,,,18,11,1,26
975b9547-14aa-4b3f-a850-e6f4f624b8d4,Farzar: Season 1,Farzar,5200000,Farzar,100,https://www.imdb.com/title/tt14589904/,"Animation, Action, Adventure",TV Series,5.6,2.8K,8,9,23,21,2,,2,,,,,,2,,21,6,,,,5,1,1,18
f4b2ffe3-7f44-4af9-b139-9780f2252aa7,H (1998): Season 2,H (1998),17500000,H,100,https://www.imdb.com/title/tt0173554/,Comedy,TV Series,7.4,1.9K,8,74,262,3,1,5,5,1,1,,2,9,20,26,8,17,,44,4,9,,1,14
fb46a309-9b63-4f7e-894f-efa474d19f7c,Russian Doll: Season 1,Russian Doll,8900000,Russian Doll,100,https://www.imdb.com/title/tt7520794/,"Comedy, Drama, Mystery",TV Series,7.7,106K,4,21,124,27,1,2,3,3,4,2,1,26,8,20,56,27,24,71,25,26,4,3,109
01c2c3fb-582f-4637-8565-744df4a51b7d,Secret City,Secret City,5200000,Secret City,100,https://www.imdb.com/title/tt4976512/,"Mystery, Thriller",TV Series,7.4,9.5K,3,7,150,9,1,2,3,3,2,2,2,12,9,7,31,27,17,38,11,21,11,4,66
66452ef4-2fdc-4e8c-82ec-ba176b3b7270,Trainwreck: Woodstock '99,Trainwreck: Woodstock '99,5200000,Trainwreck: Woodstock '99,92,https://www.imdb.com/title/tt21217912/,"Documentary, History, Music",TV Mini Series,7.4,21K,1,,31,9,1,2,3,,1,,,,2,,,12,,4,,7,3,,5
6730ec93-c894-41db-ad59-763a3635e618,Couples Come Dine with Me: Season 3,Couples Come Dine with Me,8500000,Couples Come Dine with Me,100,https://www.imdb.com/title/tt3855202/,Reality-TV,TV Series,7,103,11,1,222,15,1,,10,,,,,,1,,,6,,4,,4,9,,14
f02519fa-e8e7-472a-a5d7-60ccbb50abaf,Inspector Koo: Season 1 // 구경이: 시즌 1,Inspector Koo,5100000,Inspector Koo,100,https://www.imdb.com/title/tt14731794/,"Action, Comedy, Thriller",TV Series,7.1,1K,1,1,16,,,,,,,,,,,,,,,,,,,,
d6ea36a3-08bd-4bae-a112-b740463277b0,I Survived a Crime: Season 1,I Survived a Crime,5100000,I Survived a Crime,100,https://www.imdb.com/title/tt13471702/,Crime,TV Series,6.4,155,,,2,1,,1,,,,,,,,,,1,,,,2,1,,2
d4056b22-1580-42be-8778-3808bc4e06a1,Jailbirds: Season 1,Jailbirds,5100000,Jailbirds,100,https://www.imdb.com/title/tt10243628/,Reality-TV,TV Series,7.1,1.4K,,,10,12,,2,3,,,,,,1,,,1,,2,,5,1,,
6b7e4253-85fe-4c07-b91c-a14484a2cde3,How to Become a Tyrant: Limited Series,How to Become a Tyrant: Limited Series,5100000,How to Become a Tyrant,100,https://www.imdb.com/title/tt14832996/,"Documentary, Biography, History",TV Mini Series,7.4,11K,4,,32,14,,4,5,,1,,,2,1,,3,5,,1,,4,2,,9
242a5fdc-f1e2-440f-944a-4b3158bbd1a9,MAKE MY DAY: Season 1,MAKE MY DAY,5100000,Make My Day,100,https://www.imdb.com/title/tt14837962/,"Animation, Adventure, Drama",TV Series,5.4,655,8,3,52,3,1,1,1,,1,,,,14,3,5,16,,,,5,2,,11
